employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
43253,Sales & Marketing,region_19,Bachelor's,m,other,1,31,5.0,5,1,0,48,0
67983,Technology,region_13,Master's & above,m,sourcing,1,34,1.0,4,0,0,78,0
17959,Technology,region_22,Bachelor's,m,other,3,29,4.0,4,1,0,77,0
50522,Sales & Marketing,region_2,Master's & above,m,other,1,54,4.0,15,1,0,47,1
62721,R&D,region_7,Bachelor's,m,sourcing,1,31,5.0,6,0,0,86,0
41955,Operations,region_26,Bachelor's,f,sourcing,1,41,3.0,10,0,0,65,0
67634,Sales & Marketing,region_2,Master's & above,m,other,1,57,2.0,28,0,0,53,0
1963,Finance,region_2,Bachelor's,m,other,1,42,4.0,7,0,0,62,0
52432,Finance,region_3,Bachelor's,m,other,2,28,1.0,5,0,1,66,0
67396,Sales & Marketing,region_26,Bachelor's,m,other,1,29,1.0,3,1,0,52,0
3638,Procurement,region_23,Bachelor's,m,sourcing,1,35,5.0,10,1,1,64,1
72417,Technology,region_4,Master's & above,f,other,1,42,4.0,6,0,0,77,0
55315,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,47,1.0,5,0,0,53,0
37088,Technology,region_28,Bachelor's,m,other,1,32,3.0,5,0,0,75,0
1286,Operations,region_4,Master's & above,m,other,1,49,3.0,18,0,0,57,0
24632,Operations,region_8,Master's & above,m,other,1,44,5.0,3,1,1,93,1
33774,Analytics,region_31,Bachelor's,m,other,1,24,3.0,2,0,0,81,0
37351,Sales & Marketing,region_11,Bachelor's,m,other,2,32,5.0,4,1,0,52,0
21715,Operations,region_19,Bachelor's,m,sourcing,1,33,4.0,6,1,0,57,0
42910,Operations,region_7,Bachelor's,f,sourcing,1,34,3.0,6,0,0,59,0
30990,Sales & Marketing,region_2,Bachelor's,f,other,1,25,5.0,2,0,0,51,0
34586,Procurement,region_7,Bachelor's,m,other,2,37,2.0,2,0,0,74,0
72806,Sales & Marketing,region_20,,m,other,1,24,,1,0,0,51,0
32408,Operations,region_13,Master's & above,m,other,1,35,3.0,4,1,0,56,0
14143,Technology,region_27,Master's & above,m,other,2,38,3.0,2,0,0,82,0
