,department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,kpi_80,award_won,avg_training_score,is_promoted,sum_metric,total_score
0,Sales & Marketing,Master's & above,f,1,35,5.0,8,1.0,0,49.0,0,6.0,49.0
1,Operations,Bachelor's,m,1,30,5.0,4,0.0,0,60.0,0,5.0,60.0
2,Sales & Marketing,Bachelor's,m,1,34,3.0,7,0.0,0,50.0,0,3.0,50.0
3,Sales & Marketing,Bachelor's,m,1,39,1.5,10,0.0,0,50.0,0,1.0,100.0
4,Technology,Bachelor's,m,1,45,3.0,2,0.0,0,73.0,0,3.0,73.0
5,Analytics,Bachelor's,m,1,31,3.0,7,0.0,0,85.0,0,3.0,130.5
6,Operations,Bachelor's,f,1,31,3.0,5,0.0,0,59.0,0,3.0,59.0
7,Operations,Master's & above,m,1,33,3.0,6,0.0,0,63.0,0,3.0,63.0
8,Analytics,Bachelor's,m,1,28,4.0,5,0.0,0,83.0,0,4.0,83.0
9,Sales & Marketing,Master's & above,m,1,32,5.0,5,1.0,0,54.0,0,6.0,54.0
10,Technology,Bachelor's,m,1,30,3.0,1,0.0,0,77.0,0,,77.0
11,Sales & Marketing,Bachelor's,f,1,35,5.0,3,1.0,0,50.0,1,6.0,50.0
12,Sales & Marketing,Bachelor's,m,1,49,5.0,5,1.0,0,49.0,0,6.0,49.0
13,Technology,Master's & above,m,1,39,3.0,13,0.0,0,80.0,0,3.0,130.5
14,R&D,Master's & above,m,1,37,3.0,7,0.0,0,84.0,0,3.0,84.0
15,Operations,Bachelor's,m,1,37,1.5,10,0.0,0,60.0,0,1.0,60.0
16,Technology,Bachelor's,m,1,38,3.0,5,1.0,0,77.0,0,4.0,77.0
17,Sales & Marketing,Bachelor's,m,1,34,1.5,4,0.0,0,51.0,0,1.0,51.0
18,Sales & Marketing,Bachelor's,m,1,34,5.0,8,1.0,0,46.0,0,6.0,46.0
19,Operations,Bachelor's,m,1,37,3.0,9,0.0,0,59.0,0,3.0,59.0
20,Procurement,Bachelor's,m,1,35,3.0,7,0.0,0,75.0,0,3.0,75.0
21,Operations,Bachelor's,m,1,41,4.0,11,0.0,0,57.0,0,4.0,57.0
22,Finance,Bachelor's,f,1,28,3.0,4,0.0,0,63.0,0,3.0,63.0
23,Procurement,Bachelor's,m,1,27,3.0,1,0.0,0,70.0,0,,70.0
24,Finance,Master's & above,m,1,39,5.0,7,0.0,0,59.0,0,5.0,118.0
25,Technology,Bachelor's,m,1,27,5.0,3,1.0,0,83.0,0,6.0,83.0
26,Procurement,Bachelor's,m,1,31,5.0,4,1.0,0,68.0,0,6.0,68.0
27,Technology,Bachelor's,m,1,33,4.0,4,0.0,0,79.0,0,4.0,79.0
28,Analytics,Bachelor's,m,1,29,5.0,3,1.0,0,80.0,0,6.0,80.0
29,Sales & Marketing,Bachelor's,m,1,26,3.0,1,0.0,0,44.0,0,,44.0
30,Procurement,Bachelor's,m,1,37,5.0,10,1.0,0,72.0,0,6.0,72.0
31,Finance,Bachelor's,m,1,26,1.5,2,0.0,0,61.0,0,1.0,122.0
