,department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,kpi_80,award_won,avg_training_score,is_promoted,sum_metric,total_score
0,Sales & Marketing,Bachelor's,m,1,31,5.0,5,1.0,0,48.0,0,6.0,48.0
1,Technology,Master's & above,m,1,34,1.5,4,0.0,0,78.0,0,1.0,78.0
2,Technology,Bachelor's,m,1,29,4.0,4,1.0,0,77.0,0,5.0,130.5
3,Sales & Marketing,Master's & above,m,1,54,4.0,13,1.0,0,47.0,1,5.0,47.0
4,R&D,Bachelor's,m,1,31,5.0,6,0.0,0,86.0,0,5.0,86.0
5,Operations,Bachelor's,f,1,41,3.0,10,0.0,0,65.0,0,3.0,65.0
6,Sales & Marketing,Master's & above,m,1,54,2.0,13,0.0,0,53.0,0,2.0,53.0
7,Finance,Bachelor's,m,1,42,4.0,7,0.0,0,62.0,0,4.0,62.0
8,Finance,Bachelor's,m,1,28,1.5,5,0.0,0,66.0,0,2.0,130.5
9,Sales & Marketing,Bachelor's,m,1,29,1.5,3,1.0,0,52.0,0,2.0,52.0
10,Procurement,Bachelor's,m,1,35,5.0,10,1.0,0,64.0,1,7.0,64.0
11,Technology,Master's & above,f,1,42,4.0,6,0.0,0,77.0,0,4.0,77.0
12,Sales & Marketing,Bachelor's,m,1,47,1.5,5,0.0,0,53.0,0,1.0,106.0
13,Technology,Bachelor's,m,1,32,3.0,5,0.0,0,75.0,0,3.0,75.0
14,Operations,Master's & above,m,1,49,3.0,13,0.0,0,57.0,0,3.0,57.0
15,Operations,Master's & above,m,1,44,5.0,3,1.0,0,93.0,1,7.0,93.0
16,Analytics,Bachelor's,m,1,24,3.0,2,0.0,0,81.0,0,3.0,81.0
17,Sales & Marketing,Bachelor's,m,1,32,5.0,4,1.0,0,52.0,0,6.0,104.0
18,Operations,Bachelor's,m,1,33,4.0,6,1.0,0,57.0,0,5.0,57.0
19,Operations,Bachelor's,f,1,34,3.0,6,0.0,0,59.0,0,3.0,59.0
20,Sales & Marketing,Bachelor's,f,1,25,5.0,2,0.0,0,51.0,0,5.0,51.0
21,Procurement,Bachelor's,m,1,37,2.0,2,0.0,0,74.0,0,2.0,130.5
22,Sales & Marketing,Bachelor's,m,1,24,3.0,1,0.0,0,51.0,0,,51.0
23,Operations,Master's & above,m,1,35,3.0,4,1.0,0,56.0,0,4.0,56.0
24,Technology,Master's & above,m,1,38,3.0,2,0.0,0,82.0,0,3.0,130.5
25,Procurement,Bachelor's,m,1,35,4.0,3,0.0,0,72.0,0,4.0,72.0
26,Technology,Master's & above,m,1,31,4.0,5,0.0,0,82.0,0,4.0,82.0
27,Operations,Bachelor's,f,1,36,5.0,9,1.0,0,56.0,0,6.0,56.0
28,Procurement,Master's & above,m,1,47,3.0,13,1.0,0,66.0,0,4.0,66.0
29,Sales & Marketing,Bachelor's,m,1,28,4.0,4,1.0,0,97.0,1,6.0,97.0
30,Finance,Bachelor's,m,1,26,3.0,3,0.0,0,57.0,0,3.0,114.0
31,Procurement,Bachelor's,m,1,27,1.5,2,0.0,0,67.0,0,1.0,67.0
32,Analytics,Bachelor's,m,1,29,4.0,3,1.0,0,83.0,0,5.0,83.0
33,Operations,Master's & above,m,1,36,3.0,9,0.0,0,57.0,0,3.0,57.0
34,Sales & Marketing,Bachelor's,m,1,25,5.0,2,0.0,0,50.0,0,5.0,50.0
35,Analytics,Bachelor's,m,1,27,5.0,2,0.0,0,87.0,0,5.0,87.0
36,Sales & Marketing,Master's & above,m,1,45,4.0,13,0.0,0,92.0,1,4.0,92.0
37,Technology,Bachelor's,m,1,26,3.0,1,1.0,0,80.0,1,,80.0
38,Sales & Marketing,Bachelor's,f,1,45,3.0,5,0.0,0,46.0,0,3.0,46.0
39,Sales & Marketing,Bachelor's,m,1,40,2.0,13,0.0,0,49.0,0,2.0,49.0
40,Sales & Marketing,Bachelor's,m,1,35,4.0,10,0.0,0,47.0,0,4.0,47.0
41,Analytics,Master's & above,m,1,38,5.0,12,0.0,0,88.0,0,5.0,88.0
42,Sales & Marketing,Bachelor's,m,1,23,3.0,1,0.0,0,51.0,0,,51.0
43,Procurement,Master's & above,m,1,54,3.0,13,0.0,0,70.0,0,3.0,70.0
44,Operations,Bachelor's,f,1,44,5.0,3,1.0,0,57.0,0,6.0,57.0
45,Technology,Master's & above,f,1,41,3.0,4,0.0,0,75.0,0,3.0,130.5
46,Procurement,Master's & above,m,1,34,4.0,3,1.0,0,74.0,0,5.0,130.5
47,Procurement,Bachelor's,f,1,34,5.0,6,1.0,0,67.0,0,6.0,67.0
48,Technology,Bachelor's,m,1,32,4.0,7,0.0,0,82.0,0,4.0,130.5
49,HR,Bachelor's,m,1,28,3.0,4,1.0,0,49.0,0,4.0,49.0
50,Procurement,Bachelor's,m,1,28,2.0,2,0.0,0,70.0,0,2.0,70.0
51,Procurement,Bachelor's,f,1,36,3.0,10,1.0,0,66.0,0,4.0,66.0
52,Sales & Marketing,Bachelor's,m,1,33,2.0,5,1.0,0,48.0,0,3.0,130.5
53,Technology,Master's & above,m,1,54,2.0,13,0.0,0,83.0,0,2.0,83.0
54,Sales & Marketing,Bachelor's,m,1,44,4.0,4,1.0,0,46.0,0,5.0,92.0
55,HR,Master's & above,f,1,34,4.0,3,0.0,0,47.0,0,4.0,47.0
56,Sales & Marketing,Bachelor's,m,1,40,5.0,7,1.0,0,43.0,0,6.0,43.0
57,Finance,Bachelor's,m,1,31,4.0,4,0.0,0,61.0,0,4.0,61.0
58,Analytics,Bachelor's,m,1,26,5.0,3,1.0,0,84.0,0,6.0,84.0
59,Sales & Marketing,Bachelor's,m,1,42,3.0,13,0.0,0,52.0,0,3.0,52.0
60,Sales & Marketing,Bachelor's,m,1,39,1.5,13,0.0,0,52.0,0,1.0,52.0
61,Technology,Bachelor's,f,1,26,3.0,3,0.0,0,76.0,0,3.0,76.0
62,Operations,Bachelor's,m,1,33,3.0,2,0.0,0,58.0,0,3.0,58.0
63,Operations,Bachelor's,m,1,34,2.0,3,1.0,0,59.0,0,3.0,59.0
64,Sales & Marketing,Master's & above,f,1,36,1.5,7,0.0,0,54.0,0,1.0,54.0
65,Sales & Marketing,Master's & above,m,1,38,4.0,7,0.0,0,47.0,0,4.0,94.0
66,Sales & Marketing,Bachelor's,m,1,22,3.0,2,1.0,0,49.0,0,4.0,49.0
67,Operations,Master's & above,m,1,40,5.0,10,1.0,0,60.0,0,6.0,120.0
68,Sales & Marketing,Bachelor's,m,1,33,1.5,5,0.0,0,48.0,0,1.0,96.0
69,Operations,Bachelor's,m,1,28,3.0,3,0.0,0,62.0,0,3.0,62.0
70,Technology,Bachelor's,m,1,31,3.0,5,0.0,0,86.0,0,3.0,130.5
71,Operations,Bachelor's,m,1,24,3.0,1,1.0,0,57.0,0,,57.0
72,Operations,Bachelor's,m,1,44,4.0,7,0.0,0,56.0,0,4.0,56.0
73,Sales & Marketing,Bachelor's,m,1,40,1.5,5,0.0,0,46.0,0,1.0,92.0
74,Analytics,Bachelor's,m,1,26,4.0,4,0.0,0,83.0,0,4.0,83.0
75,Operations,Master's & above,f,1,40,5.0,6,1.0,0,59.0,0,6.0,59.0
76,HR,Bachelor's,m,1,33,2.0,3,1.0,0,49.0,0,3.0,49.0
77,Procurement,Bachelor's,f,1,35,3.0,6,0.0,0,71.0,0,3.0,71.0
78,Operations,Bachelor's,f,1,33,3.0,5,0.0,0,58.0,0,3.0,58.0
79,Operations,Bachelor's,m,1,36,3.0,5,1.0,0,61.0,0,4.0,61.0
80,R&D,Master's & above,m,1,36,4.0,10,1.0,0,86.0,1,5.0,86.0
81,Technology,Master's & above,m,1,36,3.0,7,1.0,0,80.0,1,4.0,130.5
82,Sales & Marketing,Bachelor's,m,1,32,5.0,4,1.0,0,55.0,1,6.0,55.0
83,Technology,Bachelor's,m,1,29,3.0,4,1.0,0,74.0,1,4.0,74.0
84,Sales & Marketing,Master's & above,m,1,40,3.0,13,0.0,0,49.0,0,3.0,98.0
85,Procurement,Master's & above,f,1,47,3.0,6,1.0,0,69.0,0,4.0,130.5
